0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
16823352,22485584,25822816,33059536,23543264,29786400,32097600,31484800,33304400,35283600,31287600,27191608,31089089,32950800,36953046,43635235,45894505,43624424,38585600,35561696,42198304,38040384,42603376,38878577,25081081,31882117,33631200,43459459,42954384,18238416,25272000,32454000,27864000,19583200,29557904,17386261,16140048,24562162,22917968,19558416,19839616,30949424,28450576,16885114,19881081,26503200,34881518,12335135,16081200,11599200,7938000,27820800,21480208,26291504,24352896,21731292,45133789,38699252,32735199,31405296,25446272,38134064,46775336,26060236,24023824,13564835,13751184,17879216,13535231,24820976,25050704,48346048,39838576,7238537,29229056,57138994,48760656,46619492,23514106,43554269,52170400,37860724,33615280,27231200,44302336,40758265,41997021,42811392,33938541,39032952,53706752,52153200,44418701,28818144,36376088,51465952,35744480,39978597,27537953,38174720,51331072,43894592,40849646,35327391,29786112,51594752,38794048,43224960,20677216,35913728,38991808,37236011,41653392,29841616,35408464,43604608,30080591,29357469,27629584,38068752,33422880,20648720,39528519,32548388,33514832,29673814,29783127,49201102,37058642,30507008,52559872,51377998,48856792,40722237,24150016,52022070,53255368,31267536,23579643,23830688,22606528,16895904,10621789,12680688,9055888,7884304,13978074,24796800,28660112,35040000
1000000,19200704,24886153,23397925,35689440,28066816,28342697,30468964,23428896,27543520,20880928,23598545,22220640,18534662,18311232,19939616,10536215,5332628,11722208,13900576,9004640,9910496,6340992,3070369,2793056,3486718,5171148,2925389,6308640,2846976,3415112,3249233,4432224,1585248,1260467,2569161,2383264,1391136,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2372480,14828000,29666784,4956928,47123648,39904064,29172160,17933266,36449920,34284268,50983232,53557226,51525952,52334752,57331155,28298784,20779200,30243608,40985138,38718049,26509312,39637909,24726464,29898848,27094592,11970240,25624327,32757429,39824480,34294368,9303624,25722880,64748780,28567720,8984512,14162770,12541792,6869408,9047776,24361056,9932064,1000000,25704704,13969632,16693632,15194656,12552576,6114528,4766528,5715520,3343040,4270464,4410656,4029186,4112816,2803840,2747172,3238438,3731264,4496928,6340992,5338080,3986093,8830142,16149696,20095328,10681344,3116576,37566272,11705824,10126176,12072896,15879232,20889286,12025401,8821312,7710560,16295456,14338333,13882106,10234432,13253120,12638848,9285024,9446784,11722208,9581792,15368992,19047936,5888064,8314464,10600855,12597941,13296256,12957184,15663968,16704000,17597922,7344784,28945472,33441184
36014333,33809920,34028016,31506941,26694166,26039296,17679584,17971216,22604400,10479120,20988960,29219427,41969088,35193216,29061328,33406288,34097408,38233808,37060096,41282800,43968608,32536231,36612544,30577473,27624775,22053088,21113753,36763108,24132534,28667366,24729081,23761168,33743344,30852928,36163104,31686784,28314960,24236224,19555532,19140356,17026384,22803296,27335520,22063936,27043200,17750918,14094432,13492091,29360832,36191856,45627739,40346304,34947072,52297728,49556976,32350785,36716464,25584624,51467796,26802224,28439776,22408472,22315232,29116704,30182195,48254686,41948476,34961262,55990966,47158496,47271496,38591359,28807032,49348804,37564944,28017422,19649489,24428944,15103616,21183936,21249614,24447167,35325088,29037154,26988988,17776800,18284400,10833470,38137161,40786592,47035748,35536832,24969664,53968896,48345184,46432320,49119888,18794858,50626560,41809776,33043040,41428688,21626880,48740592,42199984,47629424,33129632,25903104,46628864,52854784,49247456,37997632,28852224,37285466,52579683,35913584,35282589,22941040,42205184,50927231,24516000,16370029,7420924,7066496,14943056,21511607,15905296,9120208,19356211,21481081,21750832,25891584,25970592,16361792,21027232,8472256,13222505,3456016,26610466,21945600,30611520,41422257,28648392,47218688,51176528,35267116,29157605,28020688,45551120,37073393
3133189,18052416,25111168,24107008,35363324,30129745,37225206,29961577,33364267,34262678,35145056,41778573,40127264,16758336,58572556,47762893,46855015,40267040,32254944,32815712,15567312,32621600,4836068,38272416,30669696,33881798,32234922,36340416,29893248,44397728,33716907,55877573,30733984,21751144,17761248,21869952,44684460,49291360,39585568,54842240,48121888,38058240,43265824,29650816,24896927,26091019,37485184,45335936,47358144,46435904,47521568,40412000,47589792,41550752,43454017,37711407,44257536,45990496,45080384,39253760,47794688,36590112,38639072,35820979,28099267,45688839,29580512,21870254,30928512,41347644,37511911,37975080,40232744,40509888,35072447,26754690,30173632,25687488,24119040,28603936,1466624,44742816,33160800,32905728,8679480,24687695,4201558,8074506,9960064,11882453,14002400,15302496,19225529,23997570,37657433,47266272,46818944,43184271,34791623,37344992,27023488,40373674,39092000,28563027,28124672,34813890,32567479,35252896,35627892,30958638,24512032,23261088,27725664,25245344,20388539,35153041,35605514,30042816,22379019,35220544,29893248,13509626,19799424,19031223,4837178,45852348,30847680,65535199,47599440,48535255,44568839,51264480,48010368,46748640,49513750,47938658,48464320,48053504,48167096,41495191,52949440,48064288,42850173,53585489,38665110,31078214,22042021,19777856,21749888,24549864
31869401,46722848,28085088,56852480,52317506,46225361,42549866,28298058,37907436,55195995,35054720,27644064,24603712,23164640,8000480,9554624,15183872,1885314,42391159,32934336,30545038,33174880,27008352,29332064,23840735,22441504,17069216,11898138,16617728,12062528,20516987,14871136,2979363,1000000,2337790,6282570,11409472,9976007,9414432,12418816,9343296,5753625,1000000,11053869,1747008,33064608,34797056,37841710,47144520,35935744,26258624,23264575,20697241,21548000,14608495,16541789,16770560,14856279,14304768,18909952,20220416,19505777,16905686,17047671,15421058,13726398,15050197,13061701,13909898,14297920,1000000,27214833,19401769,17178912,17247936,19670016,20139328,23041281,20589568,22335168,22917349,26923296,30467840,32170165,28162946,57769984,46096576,32800768,34963456,60080128,64143360,57800727,46581909,43153248,47415296,51264607,51720936,43220928,38054745,50806784,49056416,38856424,24474720,13403872,31883264,23602176,14247200,13316704,10320751,5942742,2161984,1000000,14724100,6399296,5672384,7459203,14705454,12635931,10648576,9124923,10708512,12575935,6589024,2176191,1000000,7300768,5222240,11978240,7236064,7699776,8077216,3903808,4619252,20643040,14076412,8640127,15534624,13064544,12423168,11410098,9727168,12930016,11323200,9953632,11474176,11463392,12272192,8316931,6789925,19163168
1000000,11393088,29256992,36579328,42639936,29281630,50415200,32276436,42526721,49841201,50257792,53941568,50264224,37307684,54546098,59417248,61554688,31293440,28643356,63321945,63995904,63275008,40037530,27880680,66224128,59179008,61489152,34390016,32997376,58228736,60522496,61100371,33440416,24453242,60255071,61079552,61161472,38038377,31078758,54356907,61124292,63175360,29109920,32702529,59861461,39771488,36307628,29082938,41598976,48336911,27889681,36056704,18616640,36861024,26771904,33359680,37197344,33313312,37060608,59620475,61507715,56481664,37617664,28147712,59342848,61554688,61915136,53444608,29720576,63359104,62373888,60943887,43188224,37874701,39869373,62832640,60118313,48905993,29425664,55279616,62472192,65208320,47248463,25643840,33097696,28445504,30038582,29967904,30475584,32006912,32508835,36669501,41944160,46328064,35544064,46565312,60534761,61066154,71811036,48212852,63412043,64843360,40696376,55891500,40752736,52818930,65512800,62624767,55042946,58039200,87176951,86647127,75792640,83049622,83889457,69496167,66495935,64294208,27978069,58049633,38346677,41236480,40892220,42882784,42333186,40432112,41885056,39068899,41721081,45919072,42920320,41783648,39854513,36907403,31748096,41753094,30985001,31134625,43044544,43993120,47934494,43922816,42238721,38788804,29817760,27003136,28976608,31176544,30283540,26711968
30288395,58066240,57475164,56978066,66844739,47345969,47320192,50177952,52519328,55288320,63908928,61137678,61337497,61718528,55142553,27700276,33718272,60850176,59097088,62832640,28491776,14467072,45383680,61177856,63045632,30081024,47417030,63132359,61361941,64881294,29356716,28196864,61493194,64109165,60756651,29720576,30783551,61800448,60506112,65486848,34764851,32177585,56950784,61554688,64815104,39347788,10102646,25795388,60074666,59523072,37154525,36208640,55564556,60080128,58170565,34965653,29658149,57442304,57270198,60412931,40918998,37257216,60653568,58277888,57622528,39829504,24502345,55302150,55459840,58039624,37983327,25722880,58966016,61018533,59566254,43614208,28672000,48152576,58556416,59965440,36159488,7176192,32374784,59867136,55755168,32266208,34324480,44165562,54225393,32885130,41837421,30932992,59250829,59539456,56172800,33519055,34340864,47744383,60644320,47032664,30796288,28311552,50266112,63078400,51479392,42012320,24592384,49577984,59441152,45100320,37760288,27513990,48336464,38242528,38570880,29938765,26863855,62488576,57059552,41565376,38335168,25853952,46612480,30744512,33976672,30212667,22649881,26639680,23104928,20516352,20446464,25965184,23504271,21924228,13404512,18033344,19527328,15528960,11517312,25682304,26923124,8265801,48317250,58736640,62013440,52895807,24616919,48856792,46646464,28769886
20118908,25940267,24555168,11426114,20819436,19594528,25616048,15906400,18375936,25133938,29804428,22301312,15291712,10589888,16855392,16812256,18030848,24035068,32632664,51222144,50463648,43017257,35069568,22064064,13910784,35296608,27013920,25090432,22616935,28088056,41843168,39417990,24521577,47611904,25238208,21476128,15917184,14957408,12333074,43799328,51939648,58205021,38954965,36392488,57376768,60151048,58533029,43433984,30146560,55453538,60583079,60162048,49561600,20086784,55246848,41791040,36580699,34608688,27268475,58237821,56009760,41033120,21553518,30606958,44222912,44758121,42841913,38172960,11206656,33652736,62963712,64864256,51625984,23298048,53493760,60903960,58008216,57908683,35913728,48627187,63473678,59877861,69369856,29851648,34439168,60489728,61738709,61095936,26634250,44171264,61194240,58736640,60817408,25264128,34961262,59812260,47520480,36284192,22854816,35878368,32450944,45511512,42786530,23974457,51642368,30314218,22617312,17265184,22349984,16502793,20479167,20077760,25547444,18830894,18027584,26988768,27714749,34578272,25562112,31254016,32552328,30746016,23961632,23130016,20444803,30699648,28481857,28770272,22991712,52115468,29271319,20489824,56515488,34776608,44777472,60932096,62783488,58753024,37760127,33079607,53018624,60751872,61341696,39944192,34144256,58949632,62701568,63031752,44018674,32211500
1000000,4819667,8433088,6998816,8047600,4587787,1000000,16049920,20670016,19302944,19616096,20155296,13296672,18397504,24178144,29523712,39293760,37189178,34564932,15701504,19605312,8929152,13372160,19087680,32872768,31421440,28965824,31899524,33958816,34354642,30523904,34696023,26959983,24644160,3437202,36877408,21955971,24350272,21435072,20131456,22443776,18526912,22344448,21952512,22887360,21222912,15794208,23092896,18341312,12677178,15594496,16174958,17054241,15473329,17195284,21244348,23197216,26485354,25980604,26902944,26297862,24307411,26476352,26285792,25627968,27137344,29511232,28965600,23693504,25718784,26968928,23509034,17530746,24503144,28912144,36565216,36838144,34696288,35465696,28456896,33193952,35458013,34709429,36129696,32097472,38691904,36425152,27908992,20075092,32407552,46207583,54368864,54365184,41986880,30093810,39475763,43291492,26364160,3655776,4475520,43861589,29122816,25035296,26688351,25134574,23649792,19100515,20423751,19950400,23045632,18364928,14310368,13835872,14644672,15334848,15563392,17375136,21238966,21302144,23169470,27240456,22478545,20767327,18916992,13879008,14741728,19648448,14202528,9705600,19424127,20640576,15709341,16216224,23433632,10807904,29048832,40567720,30648504,32605794,27879495,38305728,36945568,35820179,36082610,34809568,30428032,27975360,22449742,14211139,10784000
1000000,12748652,14398625,11274954,19401472,43862793,27466698,24734144,13130016,9633792,37776320,40271616,28551264,35346432,28597696,38897358,37783447,39337536,33581376,26926400,45482080,35072927,25010578,32482592,22149792,8519680,14224096,33194752,21987804,21415623,27035488,21718976,15561312,15642725,11086254,7139008,11893642,1000000,14590752,2124448,5074496,10299552,7153728,17324704,19149202,20392544,19441425,21854048,24539136,25090429,26242146,16579996,24745824,22269021,9015016,27770880,15554720,25686422,16037504,22024832,15696320,22535040,16093056,17108384,12779040,2232288,5898848,15405714,23532652,22430720,19123308,7091347,2771488,22568343,34790790,32289758,30982432,25961481,29438368,30588451,36366350,36176111,33345505,33302240,28842901,37606502,31503392,16704608,36892064,12550144,43623224,16499520,45583968,12953753,26338784,29215616,29712832,14766353,18602154,11497216,21020672,32646016,28158784,41204992,26203200,44793120,30244288,31972699,31623111,22496767,27844964,30637344,24522816,41707378,47249927,37027840,59128391,47315923,52460224,43487904,23534574,57901056,62357504,58645226,43805469,28344320,56786944,58523648,44311360,25752192,6641792,57023968,56512896,58328640,44054944,28414209,63012864,64519175,60178432,46140355,21878134,7741890,57811411,65536000,49430528,33374208,56435596,59107043,59610917,44949237
